Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question,serialno
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,মঙ্গলবার,বৃহস্পতিবার,বুধবার,রবিবার,১৯৬৬ সালের ৭ জুন কী বার ছিল?,13
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ন্যাপ দলীয় মশিউর রহমান,মাওলানা আব্দুল হামিদ খান ভাসানী,মোনায়েম খান,আইয়ুব খান,"“পূর্ব পাকিস্তানে গোলমাল সৃষ্টি করার জন্য মার্কিন গোয়েন্দা বিভাগ (সিআইএ) অর্থ প্রদান করিয়াছে”। ৭ জুন, ১৯৬৬ সালে ছয় দফা দাবির জন্য হরতাল পালন প্রসঙ্গে কে এই মন্তব্য করেছিলেন?",14
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দেশরক্ষা আইনে,সন্ত্রাস ও বিচ্ছিন্নতাবাদ সমর্থনের কারণে,ঋণ খেলাপির কারণে,আপত্তিকর সংবাদ উপস্থাপনের জন্য,১৯৬৬ সালে পাকিস্তান সরকার নিউনেশন প্রেস কোন আইন বলে বা কীসের জন্য বাজেয়াপ্ত করেছিল?,15
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,জানুয়ারি ২০১৭,জুন ২০০৮,এপ্রিল ২০০৭,মে ২০১৬,শেখ হাসিনা ‘কারাগারে রোজনামচা’ বইয়ের ভূমিকা লেখেন কবে?,16
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৮ জানুয়ারি,১৯ ফেব্রুয়ারি,২০ জানুয়ারি,২৫ ফেব্রুয়ারি,১৯৬৮ সলে আগরতলা ষড়যন্ত্র মামলা কত তারিখে দায়ের করা হয়?,17
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩৫ জন,৪০ জন,৫৩ জন,২৪ জন,আগরতলা ষড়যন্ত্র মামলা কতজনের বিরুদ্ধে দায়ের করা হয়?,18
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ঢাকা কেন্দ্রীয় কারাগার,ফরিদপুর কারাগার,রাজশাহী কারাগার,খুলনা কারাগার,১৯৬৮ সালে আগরতলা মামলায় গ্রেফতার হয়ে বঙ্গবন্ধু শেখ মুজিব কোন কারাগারে অন্তরিন ছিলেন?,19
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ধানমন্ডি ১৮ নম্বর সড়কে একটি বাড়িতে,ঢাকা সেনানিবাসে,ঢাকা কেন্দ্রীয় কারাগারে,মিন্টু রোডের একটি পরিত্যক্ত ভবনে,মুক্তিযুদ্ধকালে বঙ্গবন্ধু শেখ মুজিবুর রহমানের স্ত্রী ও সন্তানদের পাকিস্তানি বাহিনী কোথায় বন্দি করে রাখে?,20
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ড্রেসিং রুমের আলমারির উপর,ঢাকা সেনানিবাস থেকে,স্পেশাল ম্যাজিস্ট্রেট কোর্ট থেকে,ভারতের গণগ্রন্থাগার থেকে,শেখ হাসিনা মুক্তিযুদ্ধচলাকালে শেখ মুজিবুর রহমানের লেখা খাতাগুলো কোথা থেকে উদ্ধার করেন?,21
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩ রকমের,৫ রকমের,৪ রকমের,২ রকমের,‘কারাগারের রোজনামচা’ বইয়ে কত রকমের জেল আছে বলে উল্লেখ আছে?,22
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সাব জেল,কেন্দ্রীয় কারাগার,জেলা জেল,কোনোটিই নয়,‘কারাগারের রোজনামচা’ উল্লেখ পূর্বক কোন জেলে দুই-তিন মাসের সাজাপ্রাপ্ত লোক ছাড়া রাখে না?,23
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,কেসটাকোল,কনভিক্ট ওভারসিয়ার,নাইট গার্ড প্লেস,সিস্টেম পয়েন্ট,জেলে যেখানে জেল সুপার এসে নতুন কয়েদিদের সকল কিছু তথ্য নোট করে ও কয়েদিরা অন্যায় করলে বিচার হয় তার নাম কী ছিল বলে বঙ্গবন্ধু উল্লেখ করেছেন?,24
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ঝাড়ু দফায়,চৌকি দফায়,রাইটার দফায়,জলভরি দফায়,"জেলের কয়েদিদের মধ্যে যারা বুড়া, অসুস্থ তাদের কোন দফায় অন্তর্ভুক্ত করা হতো?",25
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ক + খ,লুৎফর রহমান,লুদু,মোহাব্বত হোসেন,‘কারাগারের রোজনামচা’তে বঙ্গবন্ধু যে চোরের জীবনী নিয়ে বেশ পর্যালোচনা করেছেন তার নাম কী?,26
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ব্যাভিচার করতে পারে,মারামারি করতে পারে,পালিয়ে যেতে পারে,নিয়মকানুন পালন নাও করতে পারে,"কারাগারে কোনো সেলে দুইজন রাখা হয় না কেন, কারাগারের রোজনামচায় উল্লেখ আছে এর কারণÑ",27
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,রাইটার,সুতা কাটা,বাগান করা,পাহারা দেওয়া,কয়েদিদের মধ্যে যারা লেখা পড়া জানে তাদের জেলে কী কাজ দেওয়া হয়?,28
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,রাইটার দফা,চৌকি দফা,কালোপাগড়ি,জলভরি দফা,কয়েদিদের খালাসের সময় হিসাব করেÑ,29
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,তৃতীয় শ্রেণি,প্রথম শ্রেণি,ডিভিশন-১,সুখী কয়েদি,জেলে সাধারণ শ্রেণির কয়েদিদের বলা হয়Ñ,30
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমানের,আতাউর রহমান খান,আবদুর সালাম খান,আবদুর রশিদ,"“সরকার হুকুম দিয়েছে কয়েদি দিয়ে ঘানি ঘুরানো চলবে না, আপনার জেলে এখনও চলছে কেন”? ‘কারাগারের রোজনামচা’ অনুসারে কে জেলার সাহেবকে জবাবদিহি করেছিলেন?",31
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৪ জুন, ১৯৬৬","৫ জুন, ১৯৬৬","৯ জুন, ১৯৬৬","৮ জুন, ১৯৬৬",সংবাদ পত্রে “সরকারি গোপন তথ্য আইন সংশোধনী বিল” দেখে কবে বঙ্গবন্ধু চিন্তিত ও শিহরিত হয়ে পড়েছিলেন?,32
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দৈনিক আজাদ,ডেইলি অবজারভার,ডেইলি ডন,ইত্তেফাক,"৭ জুন, ১৯৬৬ এর হরতালের ভালো খবর পরিবেশন করার জন্য বঙ্গবন্ধু কোন পত্রিকার প্রশংসা করেছেন?",33
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,মাওলানা আব্দুল হামিদ খান ভাসানী,শামসুল হক,হোসেন শহীদ সোহরাওয়ার্দী,মানুষের প্রবৃত্তি সম্পর্কে কে বলেছেন- “মানুষ যখন অমানুষ হয় তখন হিংস্র জন্তুর চেয়েও হিংস্র হয়ে থাকে”।,34
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,নেলসন ম্যান্ডেলার,মহাত্মা গান্ধীর,সোহরাওয়ার্দীর,"“সত্য খবর বন্ধ হলে অনেক আজগুবি খবর গ্রামে গ্রামে ছড়াইয়া পড়ে, এতে সরকারের অপকার ছাড়া উপকার হয় না”। এই ভাবগম্ভীর উক্তিটি কার?",35
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৬৩ কোটি ৫৬ লাখ,৬৩৬ কোটি,২৩ কোটি ২৫ লাখ,ঘাটতি ছিল,১৯৬৬-৬৭ অর্থ বছরে রাজস্ব খাতে কত টাকা উদ্বৃত্ত থাকার কথা ছিল?,36
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৫৬ কোটি ৩৬ লাখ,৩০ কোটি,৩৯ কোটি,৩৬ কোটি ৫৬ লাখ,উন্নয়ন খাতে ১৯৬৬-৬৭ অর্থ বছরে ঘাটতি কত ছিল?,37
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১ কোটি ১৬ লাখ,২২ কোটি ৩ লাখ,৯ কোটি ৭ লাখ,২৬ কোটি ৫ লাখ,১৯৬৬-৬৭ বর্ষে নতুন করে কত টাকা কর বসানো হয়েছিল?,38
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,সৈয়দ নজরুল ইসলাম,তাজউদ্দীন আহমদ,খন্দকার মোশতাক আহমেদ,"“কি হবে সে আমি জানি, তবে পরে আমাকে দোষ দিতে পারবেন না। আমি বিনা প্রতিবাদে অত্যাচার  সহ্য করার লোক নই”। কে?",39
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বাংলা একাডেমি,দি ইউনিভার্সিটি প্রেস,বি.জি. প্রেস,বঙ্গবন্ধু ট্রাস্ট প্রেস,বঙ্গবন্ধু ‘কারাগারের রোজনামচা’ বইটি প্রকাশিত হয় কোথা থেকে?,40
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"মার্চ, ২০১৭","ফেব্রুয়ারি, ২০১৬","জানুয়ারি, ২০১৫","ফেব্রুয়ারি, ২০১৫",‘কারাগারের রোজনামচা’ বইয়ের প্রকাশিত হয় কবে?,41
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"10,000","20,000","50,000","১,০০,০০০",‘কারাগারে রোজনামচা’ বইয়ের প্রথম মুদ্রণ সংখ্যা কত?,42
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"মে, ২০১৭","জুন, ২০১৭","ফেব্রুয়ারি, ২০১৭","ফেব্রুয়ারি, ২০১৬",২য় বারের মতো ‘কারাগারে রোজনামচা’ বইটি ছাপানো হয় কবে?,43
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৬০ সালের ৭ ডিসেম্বর,১৯৬১ সালের ১০ জানুয়ারি,১৯৬২ সালের ৩ মার্চ,১৯৬৩ সালের ৯ জুলাই,মুক্তি লাভ করে পুনরায় জেল গেটে গ্রেফতার হওয়ার পর রিট আবেদন করে মুক্তি লাভ করেন কত সালে?,44
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আওয়ামী লীগ,যুক্তফ্রন্ট,মুসলিম লীগ,যুক্তফ্রন্ট ও আওয়ামী লীগ যৌথভাবে,১৯৭০ সালে নির্বাচনে বিজয়ী হয় কোন দল?,45
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ড. ফকরুল আলম,ড. এনায়েতুর রহিম,জয়েস রহিম,ক ও খ,‘কারাগারের রোজনামচা’ ইংরেজিতে অনুবাদ করেন-,46
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমানের,নেলসন ম্যান্ডেলা,মাওলানা আব্দুল হামিদ খান ভাসানী,তাজউদ্দীন আহমদ,"কে জেলখানার অবস্থা সম্পর্কে বলতে গিয়ে বলেছেন, “জেলখানায় পাওয়া যায় না এমন জিনিস খুব অল্পই আছে। তবে মেয়ে লোক শুধু পাওয়া যায় না”-",47
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৪০টি,৩২টি,৪৫টি,৫০টি,"কতটি সেলে পাগল রাখা হতো বলে, বঙ্গবন্ধু শেখ মুজিবুর রহমান ‘কারাগারের রোজনামচা’য় উল্লেখ করেছেন?",48
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩টি,২টি,১টি,একটিও না,জেলখানায় কয়েদিদের শীতের দিনে কয়টি করে কম্বল দেওয়া হতো?,49
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দরজি খাতা,মুচি খাতা,জলভরি দফা,চৌকি দফা,"ঢাকা জেলে চাদর, কয়েদিদের কাপড়, মোড়া, টেবিল, চেয়ার, খাট, গদি অনেক কিছুই এখানে তৈরি হয়। এখানে কারাগারের রোজনামচায় কীসের বর্ণনা দেওয়া হয়েছে?",50
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৪৪ ধারা ভঙ্গের জন্য,দাঙ্গা হামলা ও লুটতরাজের জন্য,রাষ্ট্রদ্রোহ ও পাকিস্তান বিচ্ছিন্নের প্রচেষ্টার জন্য,অশোভন ও উস্কানিমূলক ভাষণ প্রদানের জন্য,১৯৪৯ সাল থেকে ৫০ সালে বঙ্গবন্ধু শেখ মুজিবুর রহমান কোন মামলায় নিরাপত্তা বন্দি হয়েছিলেন?,51
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১০ নং সেলে,২০ নং সেলে,৪০ নং সেলে,১ নং সেলে,"২ জুন, ১৯৬৬ আওয়ামী নেতাকর্মীদের গ্রেফতার করে কোন সেলে রাখা হয়েছিল বলে ‘কারাগারের রোজনামচা’ গ্রন্থে উল্লেখ আছে?",52
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ক ও খ উভয়ই,পটল ভাজি,ইলিশ রান্না,গরুর মাংস ও আলু ভাজি,"৪ জুন, ১৯৬৬ এ বঙ্গবন্ধু জেলের ভিতর নিজ হাতে কী রান্না করেছিলেন বলে ‘কারাগারের রোজনামচা’য় উল্লেখ আছে?",53
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২ বার,৭ বার,৩ বার,৪ বার,বঙ্গবন্ধু ১৯৬৬ সালে জেলে অন্তরিন থাকা অবস্থায় সপ্তাহে কয়বার সিভিল সার্জন জেল ভিজিটে আসতেন?,54
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আইয়ুব খান,বঙ্গবন্ধু শেখ মুজবুর রহমান,ইয়াহিয়া খান,হোসেন শহীদ সোহরাওয়ার্দী,মৌলিক গণতন্ত্রের প্রবক্তা কে?,55
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২২৫ কোটি,১৩৬ কোটি,৩০০ কোটি,৩৫০ কোটি,১৯৬৬-৬৭ অর্থবছওে দেশরক্ষা খাতে কত বরাদ্দ ধরা হয়েছিল?,56
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধুর,মোশতাক আহমেদের,ভাসানীর,সোহরাওয়ার্দীর,"“তবে আমার বিশ্বস আছে, অর্থের জন্য কাজ বন্ধ থাকে না”। কার বিশ্বাস আছে?",57
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,তফাজ্জল হোসেন মানিক,মুতিয়ুর রহমান,এস এম হোসেন,আফরোজ বখত,আন্তর্জাতিক প্রেস ইনস্টিটিউটের পাকিস্তান শাখার সভাপতি কে ছিলেন বলে ‘কারাগারের রোজনামচা’য় উল্লেখ আছে?,58
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সোভিয়েত প্রধানমন্ত্রী আলেক্সি কোসিগিন,দিমিত্রি মেদভেব,মিখাইল গর্ভাচেভ,বঙ্গবন্ধু শেখ মুজিবুর রহমান,"“জয়ের সাধ্য নাই, ফেরারও পথ পাইতেছে না”। ভিয়েতনামে যুক্তরাষ্ট্রের অবস্থা সম্পর্কে কে বলেছিলেন?",59
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সবগুলোই,ইত্তেফাক,সাপ্তাহিক ঢাকা টাইমস,পূর্বানী,নিউনেশন প্রেস হতে কোন পত্রিকা বের হতো বলে ‘কারাগারের রোজনামচা’তে উল্লেখ আছে?,60
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ঢাকা সেনানিবাস,ঢাকা কেন্দ্রীয় কারাগার,হাইকোর্ট,বিশেষ ট্রাইব্যুনাল গঠন করে,আগরতলা ষড়যন্ত্র মামলার আসামিদের বিচারকাজ কোথায় পরিচালিত হয়?,61
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৭৫ সালের ১৫ আগস্ট,১৯৭৬ সালের ১৫ অক্টোবর,১৯৭৪ সালে ১৬ আগস্ট,১৯৭২ সালের ১৫ আগস্ট,জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানকে সপরিবারে নির্মমভাবে হত্যা করা হয় কবে?,62
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সবগুলোই,রোজ মাছ,সাবান,আঁটি করে বিড়ি,বন্দুক দফায় কাজ করলে কী পাওয়া যায়?,63
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,শহীদুল্লাহ্ কায়সার,ড. মোহাম্মদ শহীদুল্লাহ্,মুনীর চৌধুরী,জহির রায়হান,“সংশপ্তক” কার রচনা?,64
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দৈনিক আজাদ,ইত্তেফাক,অবজারভার,মর্নিং নিউজ,"৬ জুন, ১৯৬৬ বঙ্গবন্ধু শেখ মুজিবুর রহমান ৬ দফা আন্দোলনের সংবাদ পরিবেশনের জন্য কোন পত্রিকাকে ধন্যবাদ দিবার মনোবাসনা প্রকাশ করেছিলেন?",65
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,মাওলানা আব্দুল হামিদ খান ভাসানী,আবুল হাশিম,হোসেন শহীদ সোহরাওয়ার্দী,“ত্যাগের মাধ্যমেই আদর্শের জয় হয়”। কে বলেছিলেন?,66
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,মোনায়েম খানের,নুরুল আমিনের,মাওলানা আব্দুল হামিদ খান ভাসানী,“জীবনভর একই কথা শুনিয়াছি আত্মরক্ষার জন্যই পুলিশ গুলিবর্ষণ করতে বাধ্য হয়। একথা কেউ বিশ্বাস করবে?” কার কথা?,67
