Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইন্টারনেট,ইন্ট্রানেট,মোবাইল,মাইক্রোওয়েভ,ঘরে বসেই আমরা সমস্ত পৃথিবীর খবরাখবর নিতে পারি কোন প্রযুক্তি ব্যবহার করে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,উইকিপিডিয়াতে,ই-মেইলে,নোটবুকে,বুক রিডারে,নতুন কণিকা নিউট্রিনো সম্পর্কে কোথা থেকে জানা যাবে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইন্টারনেট,কম্পিউটার,ল্যাপটপ,মোবাইল ফোন,ঘরে বসে প্রিয় খাবার অর্ডার দেওয়া যায় কীসের মাধ্যমে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,কম্পিউটার,টেলিভিশন,রেডিও,ই-বুক রিডার,কোনটির সাহায্যে বাচ্চারা ঘরে বসে গেম খেলতে পারে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-চিকিৎসা কেন্দ্র,ই-বুক রিডার,ই-হসপিটাল,ই-ক্লিনিক,ঘরে বসে ভালো চোখের ডাক্তারের সন্ধান নেওয়া যায় কীসের মাধ্যমে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,তথ্য ও যোগাযোগ প্রযুক্তি,মোবাইল,কম্পিউটার,ল্যান্ডফোন,"কোনো ব্যক্তি নিউট্রিনো সম্পর্কে জানল, ঘরে বসেই বই কিনল, ভালো ডাক্তারের সন্ধান নিলো-এসব কিছু সম্ভব হয়েছে কোন প্রযুক্তির কল্যাণে?"
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ভোটের মেশিন,প্রিন্টার,ইলেকট্রনিক মেশিন,কম্পিউটার,আমাদের দেশে কাগজ ছাড়া সবচেয়ে চমকপ্রদ কাজটি কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,বোতাম চেপে,নাম টাইপ করে,রিং বাজিয়ে,টাচ করে,ইলেকট্রনিক ভোটিং মেশিনে কীভাবে ভোট দিতে হয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,পরিবেশ দূষণ করে,পরিবেশ এর জন্য উপকারী,খরচ বাচিয়ে দেয়,বাচ্চাদের জন্য অত্যন্ত দরকারী,টোনার-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,২০০৯,২০০৭,২০০৮,২০১০,তথ্য প্রযুক্তি ব্যবহার করে ভর্তি প্রক্রিয়া কার্যক্রম শুরু হয় কত সালে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,ঢাকা বিশ্ববিদ্যালয়,ঢাকা প্রকৌশল বিশ্ববিদ্যালয়,চট্টগ্রাম বিশ্ববিদ্যালয়,কোন শিক্ষা প্রতিষ্ঠান প্রথম প্রযুক্তি দিয়ে ভর্তি প্রক্রিয়া শুরু করেছিল?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,ঢাকা বিশ্ববিদ্যালয়,রাজশাহী বিশ্ববিদ্যালয়,চট্টগ্রাম বিশ্ববিদ্যালয়,কাগজবিহীন বিশ্ববিদ্যালয়ে ভর্তি প্রক্রিয়ার কার্যক্রম শুরু করে প্রথম কোন বিশ্ববিদ্যালয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,বিজনেস উইক,দি টাইমস,দি গার্ডিয়ান,হলিডে,কাগজ ব্যবহার না করে অফিসের কাজকর্ম করার বিষয় সম্পর্কে প্রথম কোন পত্রিকায় বিশেষ সংখ্যা ছাপা হয়েছিল?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ম্যাগাজিন,ব্যবসা প্রতিষ্ঠান,ব্যবসা কেন্দ্র,সাপ্তাহিক ব্যবসা কেন্দ্র,‘বিজনেস উইক’ হলো-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,১৯৭৫ সালে,১৯৮৩ সালে,১৯৮৬ সালে,২০০০ সালে,বিজনেস উইক নামের একটা একটা ম্যাগাজিনে প্রথমবার ভার্চুয়াল অফিস সম্পর্কে একটি প্রবন্ধ ছাপা হয়েছিল কবে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ল্যাপটপ,প্রোগ্রামিংয়ে দক্ষতা,মোবাইল,নোটবুক,ঘরে বসে অফিসের কাজ সম্পাদন করতে ইন্টারনেটের পাশাপাশি কোন বিষয়টি থাকা আবশ্যক
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইলেকট্রনিক ভোটিং মেশিন,ইন্টারনেট,ইলেকট্রনিক ব্যালট পেপার,ইন্টারনেট,ভোট প্রদানের ক্ষেত্রে প্রযুক্তির অবদান কোনটি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,অক্ষের,রেখার,সূর্যের,চাঁদের,পৃথিবী তার কিসের উপর ঘুরে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,কম্পিউটার ও ইন্টারনেট,কম্পিউটার ও মোবাইল ফোন,রেডিও ও মোবাইল ফোন,ইন্টারনেট ও মোবাইল ফোন,বাসায় বসে টাকা আয় করতে কিসের দরকার?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,অফিসে এসে হাজিরা দিতে হবেই,সশরীরে উপস্থিত থাকতে হয় না,যেখানে ইচ্ছা সেখানে থেকে কাজ করতে পারে,অফিসটি চব্বিশ ঘন্টাই চলবে,কোনটি ভার্চুয়াল অফিসের বৈশিষ্ট্য নয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,১৯৮৩ সালে,১৯৯৪ সালে,১৯৯৯ সালে,২০০৫ সালে,ভার্চুয়াল অফিস নিয়ে সর্বপ্রথম কবে আলোচনা করা হয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ভার্চুয়াল অফিস,কর্পোরেট অফিস,শাখা অফিস,হেড অফিস,অফিসে সশরীরে উপস্থিত না থেকেও অফিসের কাজ করা যায় ।এ ধরনের অফিসকে কী বলে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,নির্দিষ্ট দিনের মধ্যে কাজ শেষ করলেই চলে,এটি ভার্চুয়াল অফিসের নীতি,এটি আন্তর্জাতিক নিয়ম,অর্থ সাশ্রয়ের জন্য,ভার্চুয়াল অফিসে দিনের নির্দিষ্ট সময় বেধে কাজ করতে হয় না কেন?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,১৯৯৪ সালে,১৯৮৩ সালে,১৯৯৩ সালে,১৯৯৭ সালে,প্রথম ভার্চুয়াল অফিস শুরু হয় কত সালে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,জাহাজ,কম্পিউটার,র‌্যাম,প্রোগ্রাম,বাংলাদেশ এখন কী তৈরি করে বিদেশে রপ্তানি করে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,বাংলাদেশ,ভারত,জার্মানি,জাপান,বিশাল বিশাল জাহাজ তৈরি করে পৃথিবীর বড় বড় দেশে রপ্তানি করে কোন দেশ?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইন্ডাস্ট্রিয়াল রোবট,সাধারণ রোবট,বন্যপ্রানী,গৃহপালিত পশু,বিভিন্ন ইন্ডাষ্ট্রিতে আজকাল বিপজ্জনক যান্ত্রিক কাজগুলো কী দিয়ে করানো হচ্ছে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,রোবট,কম্পিউটার,যন্ত্র,অর্থ,কোনটিকে শ্রমিকের বিকল্প হিসেবে ব্যবহার করা যায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,রোবট,কম্পিউটার,ইন্টারনেট,ড্রোন,একঘেয়ে বিপজ্জনক কাজগুলো কারা ভালোভাবে করতে পারে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,রোবট,ড্রোন,সফটওয়্যার,কম্পিউটার,কলকারখানার ঝুঁকিপূর্ণ কাজ সহজেই করা সম্ভব কোনটির মাধ্যমে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,পাইলট,বোমা,তথ্যপ্রযুক্তি,ড্রোনার,আজকাল যুদ্ধবিমানে কী থাকে না?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,পাইলটবিহীন ড্রোন,পাইলট,রোবট,যোদ্ধা,যুদ্ধবিমানগুলো আজকাল কী দ্বারা পরিচালিত হচ্ছে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,যুদ্ধ ও গোয়েন্দাগিরিতে,যাত্রী পরিবহনে,ত্রাণ বিতরণে,উদ্ধার কাজে,চালকবিহীন উড়োজাহাজ বর্তমানে কোন কাজে ব্যবহৃত হচ্ছে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,প্লেন,পাইলট,রোবট,কম্পিউটার,ড্রোন শব্দটি দ্বারা কী বোঝায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ড্রোন,সুপার বিমান,মিগ-29,জেট,কোনটি পাইলটবিহীন বিমান?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-ক্লাসরুম,ভার্চুয়াল অফিস,ভার্চুয়াল স্কুল,ই-অফিস,"একজন শিক্ষক তার ক্লাসরুমে পড়াবেন, সারা দেশের অসংখ্য মানুষ তার কাছে পড়বে- এ ব্যবস্থাকে কী বলা হচ্ছে?"
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ওয়েবসাইট,কম্পিউটার,অ্যালবাম,কোনোটিই নয়,ছবি সংরক্ষণ আর বিতরণের জন্যে চমৎকার কী রয়েছে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,কোনো টাকা লাগে না,দশ টাকা,পঞ্চাশ টাকা,একশত টাকা,একজন মানুষ কত টাকা খরচ করে একটি ই-কার্ড পাঠাতে পারে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,দৃষ্টিপ্রতিবন্ধীরা,শ্রবণ প্রতিবন্ধীরা,বাক প্রতিবন্ধীরা,অপরাধীরা,কথাবলা সফটওয়্যার এর মাধ্যমে কারা কম্পিউটার ব্যবহার করতে পারে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,গুগল,ইয়াহু,ক্রোম,ইউটিউব,পিকাসা এর মূল প্রতিষ্ঠান কোনটি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,Short Message Service,Short Mail Service,Short Mail Serval,Short Memory Storage,SMS এর পূর্ণনাম -
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,খুদেবার্তা,ই-মেইল,সংক্ষিপ্ত সেবা,বার্তা,এসএমএসকে বাংলায় কী বলা হয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,টেক্সট ও মাল্টিমিডিয়া,টেক্সট ও সার্ভিস,গতি ও সময়,ফটো ও ডিজাইন,এসএমএস ও এমএমএস এর পার্থক্য কি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ভিডিও শেয়ারিং সাইট,ফটো শেয়ারিং সাইট,ভিডিও এডিটিং সাইট,ফটো এডিটিং সাইট,www.youtube.com কি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,২,১,৩,৪,ই-কার্ড কয়ভাবে পাঠানো যায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইয়াহুর ফ্লিকার,ইউটিউব,গুগল,টুইটার,বর্তমানে ছবি আপলোড করার জনপ্রিয় সাইট কোনটি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-মেইল,এস.এম.এস,এম.এম.এস,ডাক,নিচের কোনটির মাধ্যমে শুভেচ্ছা পাঠাতে কোনো খরচ লাগে না?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-কার্ড,ই-মেইল,ফান কার্ড,ভার্চুয়াল কার্ড,"কোন কার্ড তৈরিতে কাগজ, কালি, কলম ও রং ব্যবহার হয় না?"
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইন্টারনেটে,স্কুলে,বাজারে,টেলিভিশনে,ই-কার্ড কোথায় পাওয়া যায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইলেকট্রনিক বুক,ইলেকট্রনিক ফাইল,ইলেকশন বুক,ইলেকট্রন বুক,ই-বুক হলো-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সামাজিক যোগাযোগের ওয়েবসাইট,সফটওয়্যারের ওয়েবসাইট,সংবাদপত্রের ওয়েবসাইট,বিজ্ঞাপনের ওয়েবসাইট,সামাজিক কর্মকাণ্ড সহজ করে দিয়েছে কোন ধরনের ওয়েবসাইট ?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-কার্ড,ই-বুক,ইলেকট্রনিক ফাইল,ভিজিটিং কার্ড,ভিন্ন দেশে বা ভিন্ন দূরত্বে থাকা বন্ধুদের এখন শুভেচ্ছা বার্তা পাঠানো হয় কীসের সাহায্যে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,picasa.google.com,picasa.com,google.picasa.com,google.com.picasa,ছবির সাইটের জন্য খুবই জনপ্রিয় হলো-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,picasa.google.com,google.com,yahoo.com,picasa yahoo.com,নিচের কোনটি ইন্টারনেটের সাইট যেটিতে ছবি আপলোড করা যায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,www.youtube.com,www.picasa.google.com,www.fickr.com,www.gmail.com,কোনটি ভিডিও শেয়ারিংয়ের ওয়েবসাইট
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সামাজিক যোগাযোগের সাইট,নিজের স্থান,একটি স্থান বিশেষ,একটি প্রোগ্রাম,মাই স্পেস হচ্ছে-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সংবাদ বিনিময়,ডিডিও দেখা,টুইট করা,পারিবারিক যোগাযোগ,টুইটারের উদ্দেশ্য কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,২৫ লাখ ছাড়িয়ে গিয়েছিল,১২ লাখ ছাড়িয়ে গিয়েছিল,১৫ লাখ ছাড়িয়ে গিয়েছিল,২০ লাখ ছাড়িয়ে গিয়েছিল,2012 সালে ফেসবুক ব্যবহারকারীর সংখ্যা কত ছিল?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,টুইট,জোম্পা,স্ট্যাটাস,প্রোফাইল,টুইটারে মনের ভাব প্রকাশ করাকে কী বলে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,প্রোফাইলে,ওয়ালে,স্ট্যাটাসে,টুইট করে,ফেইসবুক ব্যবহারকারী তার নিজের সম্পর্কে বিভিন্ন তথ্য কোথায় প্রকাশ করেন?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ফেসবুক,রেডিও,কম্পিউটার,টেলিভিশন,এক দেশ থেকে অন্য দেশের কোনো বন্ধুকে খুঁজে পাওয়ার সহজ মাধ্যম কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সামাজিক,ভিডিও গেমের,ভিডিও গানের,এমপি থ্রি গানের,www.zooppa.com হলো একটি ওয়েবসাইট-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,প্রোফাইল,ফাইল,ইলেকট্রনিক ফাইল,পোর্টফোলিও,সামাজিক যোগাযোগ সাইটে ব্যবহারকারীর পরিচিতিমূলক বিশেষায়িত ওয়েবপেইজকে কী বলে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সামাজিক নেটওয়ার্কিং সাইট,কল সেন্টার,রেডিও,উইকিপিডিয়া,বর্তমানে পণ্যের বিজ্ঞাপন দেওয়ার জনপ্রিয় মাধ্যম কোনটি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ফেসবুক,ইয়াহু,গুগল,ইউটিউব,বন্ধুদেরকে জন্মদিনের কথা মনে করিয়ে দেবে কোনটি?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সামাজিক নেটওয়ার্ক,গুগোল,ভিডিও শেয়ারিং সাইট,সামাজিক সংকট,সামাজিক বিপ্লব ঘটানো সম্ভব কোনটির মাধ্যমে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,তিউনিসিয়া,ইরাক,বাংলাদেশ,ইরান,সামাজিক যোগাযোগ সাইটের মাধ্যমে সামাজিক বিপ্লব ঘটেছে কোন দেশে?
কম্পিউটার সংশ্লিষ্ট যন্ত্রপাতি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,স্ক্যানার,প্লটার,কী বোর্ড,প্রিন্টার,তুমি একটি ছবির ডিজিটাল প্রতিলিপি করতে চাও। এক্ষেত্রে কম্পিউটারের কোন ডিভাইসটি ব্যবহার করবে?
